N,P,K,temperature,humidity,ph,rainfall,label,fertilizer_type,pesticide_type,irigation_level,base_yield,crop_yield(per hectre),climate_suitability,disease_risk_predcition
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,Nitrogen-Rich,Fungicide,High,507.1119157,394.6122177,High,High
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,Phosphorus-Rich,Insecticide,High,500.256399,388.7128295,High,Moderate
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice,Neutral,Fungicide,High,492.3164186,351.0971195,High,High
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,Phosphorus-Rich,Insecticide,High,526.5524147,438.1443408,High,Moderate
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice,Phosphorus-Rich,Fungicide,High,525.7508424,473.935632,High,Moderate
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,Nitrogen-Rich,Insecticide,High,538.9888672,481.9489704,High,Moderate
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice,Nitrogen-Rich,Insecticide,High,574.2325372,463.2449276,High,Moderate
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,Neutral,Insecticide,High,566.5620192,502.2796513,High,Moderate
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice,Nitrogen-Rich,Fungicide,High,590.6403296,554.3803282,High,Moderate
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice,Neutral,Insecticide,Medium,605.6924276,447.4875869,High,Moderate
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice,Nitrogen-Rich,Fungicide,High,571.3983985,470.3765238,High,High
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice,Nitrogen-Rich,Insecticide,High,537.7965874,425.2255317,High,Moderate
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,Nitrogen-Rich,Fungicide,High,521.4852826,374.7308447,High,High
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice,Phosphorus-Rich,Fungicide,Medium,479.3437955,426.7131455,High,Moderate
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,Nitrogen-Rich,Fungicide,High,574.2247021,503.9880185,High,Moderate
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice,Nitrogen-Rich,Fungicide,Medium,585.0107954,555.8446391,High,Moderate
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice,Phosphorus-Rich,Fungicide,Medium,502.1245176,467.6541266,High,Moderate
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,Nitrogen-Rich,Fungicide,High,518.5389063,362.4968841,High,High
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,Neutral,Fungicide,High,468.8443171,397.5888768,High,High
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize,Neutral,Herbicide,High,483.805303,617.299526,Medium,Low
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize,Neutral,Insecticide,High,432.825009,423.6408275,Medium,Low
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,Nitrogen-Rich,Insecticide,High,493.303165,532.7972575,Medium,Low
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,Neutral,Herbicide,High,502.5873652,754.7568734,Medium,Low
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,Neutral,Herbicide,High,410.9001533,600.4181195,Medium,Low
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,Neutral,Herbicide,High,436.6065584,623.0549113,Medium,Low
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,Nitrogen-Rich,Insecticide,High,533.8998664,586.9331167,Medium,Low
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize,Neutral,Insecticide,High,570.1677134,634.483105,Medium,Low
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize,Nitrogen-Rich,Herbicide,High,475.3660141,659.107042,Medium,Low
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,Phosphorus-Rich,Insecticide,High,502.009062,563.1001719,Medium,Low
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,Neutral,Insecticide,High,466.2260052,490.7144685,Medium,Low
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize,Nitrogen-Rich,Insecticide,High,549.8872082,601.30593,Medium,Low
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize,Phosphorus-Rich,Herbicide,High,444.1243091,615.7649142,Medium,Low
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,Nitrogen-Rich,Herbicide,High,530.5629081,734.2034592,Medium,Low
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize,Phosphorus-Rich,Insecticide,High,473.7721707,588.7456626,Medium,Low
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize,Phosphorus-Rich,Herbicide,High,466.2725654,754.6515966,Medium,Low
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize,Neutral,Insecticide,High,469.9400761,498.814247,Medium,Low
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize,Neutral,Insecticide,High,420.7707599,481.09419,Medium,Low
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize,Phosphorus-Rich,Insecticide,High,466.5443473,619.6761529,Medium,Low
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,Neutral,Herbicide,High,497.1764718,733.0353528,Medium,Low
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize,Neutral,Insecticide,High,527.7283381,517.6541207,Medium,Low
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,Nitrogen-Rich,Herbicide,High,571.1743525,746.2452946,Medium,Low
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,Neutral,Herbicide,High,506.6226147,704.0778398,Medium,Low
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize,Nitrogen-Rich,Herbicide,High,504.8172479,770.3154832,Medium,Low
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,Nitrogen-Rich,Insecticide,High,574.9083107,621.525979,Medium,Low
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,Neutral,Insecticide,High,509.3693975,545.4313863,Medium,Low
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,Nitrogen-Rich,Insecticide,High,527.1055713,711.0035415,Medium,Low
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,Nitrogen-Rich,Herbicide,High,487.6340289,566.9587987,Medium,Low
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,Nitrogen-Rich,Insecticide,High,502.334557,637.2624786,Medium,Low
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize,Neutral,Insecticide,High,548.0763642,635.8656703,Medium,Low
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,Nitrogen-Rich,Herbicide,High,504.5535084,672.6857374,Medium,Low
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,Neutral,Herbicide,High,424.633303,680.6579968,Medium,Low
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,Neutral,Herbicide,High,552.8236289,659.5340132,Medium,Low
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize,Neutral,Insecticide,High,421.5531387,546.1532296,Medium,Low
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize,Neutral,Insecticide,High,437.2834296,501.2378777,Medium,Low
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,Nitrogen-Rich,Insecticide,High,569.5708693,536.3257433,Medium,Low
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,Neutral,Herbicide,High,502.4333177,719.0789358,Medium,Low
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,Neutral,Herbicide,High,543.0173948,760.1245868,Medium,Low
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize,Nitrogen-Rich,Insecticide,High,541.4354507,544.5770938,Medium,Low
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,Neutral,Herbicide,High,515.3998233,620.8261553,Medium,Low
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,Neutral,Insecticide,High,595.1655472,611.4239612,Medium,Low
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,Neutral,Insecticide,High,436.3631066,463.2360675,Medium,Low
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,Nitrogen-Rich,Herbicide,High,477.9719003,661.2575011,Medium,Low
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,Neutral,Insecticide,High,561.6265434,727.3395021,Medium,Low
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,Phosphorus-Rich,Herbicide,High,484.9866826,537.6056764,Medium,Low
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,Nitrogen-Rich,Herbicide,High,561.8672839,702.8579155,Medium,Low
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,Phosphorus-Rich,Insecticide,High,467.1455126,506.5879179,Medium,Low
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,Neutral,Herbicide,High,500.8434663,764.1223329,Medium,Low
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,Nitrogen-Rich,Insecticide,High,478.8965993,564.3134849,Medium,Low
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,Neutral,Herbicide,High,428.2134243,588.0729749,Medium,Low
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize,Nitrogen-Rich,Herbicide,High,542.1713585,717.9292517,Medium,Low
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,Nitrogen-Rich,Insecticide,High,467.8118991,622.6722769,Medium,Low
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,Neutral,Herbicide,High,563.5662278,769.3244811,Medium,Low
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,Neutral,Herbicide,High,403.7769454,578.529329,Medium,Low
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,Neutral,Insecticide,High,565.2595885,725.65024,Medium,Low
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,Nitrogen-Rich,Herbicide,High,533.1265156,765.2539736,Medium,Low
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,Nitrogen-Rich,Herbicide,High,510.1416889,684.2549096,Medium,Low
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,Neutral,Herbicide,High,515.1490963,727.3419356,Medium,Low
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize,Neutral,Herbicide,High,447.6763091,586.7684438,Medium,Low
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,Neutral,Herbicide,High,408.8350674,517.6200382,Medium,Low
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize,Nitrogen-Rich,Insecticide,High,493.5915974,650.1378886,Medium,Low
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,Neutral,Herbicide,High,515.73666,687.3360854,Medium,Low
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,Phosphorus-Rich,Insecticide,High,473.5945394,609.8757414,Medium,Low
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,Nitrogen-Rich,Insecticide,High,511.9750147,478.4158663,Medium,Low
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,Nitrogen-Rich,Herbicide,High,490.2173946,632.2637633,Medium,Low
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,Neutral,Herbicide,High,494.2137195,710.6659652,Medium,Low
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize,Nitrogen-Rich,Herbicide,High,506.7820245,669.2195009,Medium,Low
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize,Nitrogen-Rich,Insecticide,High,483.3374688,482.514351,Medium,Low
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,Nitrogen-Rich,Herbicide,High,445.5321481,611.6690857,Medium,Low
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,Neutral,Insecticide,High,581.3622762,697.3526737,Medium,Low
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,Nitrogen-Rich,Herbicide,High,547.3445087,722.5582772,Medium,Low
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,Neutral,Herbicide,High,440.6462747,606.645181,Medium,Low
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,Nitrogen-Rich,Herbicide,High,489.4411471,709.3714247,Medium,Low
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,Nitrogen-Rich,Insecticide,High,565.3181334,593.3758765,Medium,Low
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,Nitrogen-Rich,Insecticide,High,472.2920555,647.5841096,Medium,Low
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,Neutral,Insecticide,High,504.3362022,577.4112571,Medium,Low
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,Nitrogen-Rich,Herbicide,High,468.5660465,578.0833156,Medium,Low
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,Nitrogen-Rich,Herbicide,High,506.8024499,770.4971033,Medium,Low
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize,Neutral,Insecticide,High,439.008654,472.8840766,Medium,Low
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,Nitrogen-Rich,Herbicide,High,554.2649821,613.575072,Medium,Low
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,Neutral,Insecticide,High,564.8981732,580.7229551,Medium,Low
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,Neutral,Insecticide,High,447.1384916,484.8841404,Medium,Low
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize,Phosphorus-Rich,Herbicide,High,460.3608932,679.8479227,Medium,Low
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize,Neutral,Insecticide,High,479.1726961,637.5019301,Medium,Low
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,Phosphorus-Rich,Insecticide,High,460.7182405,615.4410783,Medium,Low
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize,Nitrogen-Rich,Insecticide,High,505.1190928,572.0718929,Medium,Low
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize,Phosphorus-Rich,Insecticide,High,494.3064742,488.9508333,Medium,Low
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,Nitrogen-Rich,Insecticide,High,476.7645488,559.8342683,Medium,Low
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize,Neutral,Insecticide,High,521.1974076,572.0552763,Medium,Low
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,Neutral,Herbicide,High,584.3438582,746.3563661,Medium,Low
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,Neutral,Herbicide,High,524.0470973,714.9646523,Medium,Low
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,Neutral,Herbicide,High,556.5405468,711.4584359,Medium,Low
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,Neutral,Insecticide,High,504.613367,488.5868029,Medium,Low
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize,Nitrogen-Rich,Herbicide,High,533.7504514,790.2436955,Medium,Low
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,Neutral,Insecticide,High,507.9826465,621.7027068,Medium,Low
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,Neutral,Herbicide,High,572.3233322,710.3251426,Medium,Low
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize,Neutral,Insecticide,High,431.5922622,542.5698655,Medium,Low
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,Phosphorus-Rich,Herbicide,High,445.9978844,648.6491649,Medium,Low
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,Neutral,Herbicide,High,541.5912852,796.867982,Medium,Low
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,Neutral,Insecticide,High,544.532791,550.0423607,Medium,Low
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,Phosphorus-Rich,Herbicide,High,479.3131547,1166.414306,Medium,Low
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,Phosphorus-Rich,Herbicide,High,431.995445,1015.54667,Medium,Low
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea,Phosphorus-Rich,Herbicide,High,452.5537501,1100.002066,Medium,Low
